cohort_date,days_since_first_visit,cohort_users,retained_users,retention_rate
2021-01-01,0,2160,2160,1
2021-01-01,1,2160,79,0.036574074074074071
2021-01-01,7,2160,12,0.0055555555555555558
2021-01-02,0,2502,2502,1
2021-01-02,1,2502,96,0.038369304556354913
2021-01-02,7,2502,5,0.0019984012789768186
2021-01-03,0,2449,2449,1
2021-01-03,1,2449,85,0.034708044099632504
2021-01-03,7,2449,10,0.0040832993058391182
2021-01-04,0,2919,2919,1
2021-01-04,1,2919,129,0.044193216855087356
2021-01-04,7,2919,29,0.0099349092154847555
2021-01-05,0,3878,3878,1
2021-01-05,1,3878,211,0.054409489427539967
2021-01-05,7,3878,32,0.0082516761217122231
2021-01-06,0,5142,5142,1
2021-01-06,1,5142,207,0.040256709451575265
2021-01-06,7,5142,34,0.0066122131466355505
2021-01-07,0,3797,3797,1
2021-01-07,1,3797,155,0.040821701343165658
2021-01-07,7,3797,31,0.0081643402686331322
2021-01-08,0,3447,3447,1
2021-01-08,1,3447,126,0.036553524804177548
2021-01-08,7,3447,29,0.00841311285175515
2021-01-09,0,2685,2685,1
2021-01-09,1,2685,96,0.035754189944134075
2021-01-09,7,2685,12,0.0044692737430167594
2021-01-10,0,2510,2510,1
2021-01-10,1,2510,96,0.038247011952191233
2021-01-10,7,2510,9,0.0035856573705179283
2021-01-11,0,3208,3208,1
2021-01-11,1,3208,151,0.047069825436408974
2021-01-11,7,3208,28,0.0087281795511221939
2021-01-12,0,3724,3724,1
2021-01-12,1,3724,175,0.046992481203007516
2021-01-12,7,3724,34,0.0091299677765843187
2021-01-13,0,3697,3697,1
2021-01-13,1,3697,151,0.040843927508790914
2021-01-13,7,3697,30,0.0081146875845279961
2021-01-14,0,3426,3426,1
2021-01-14,1,3426,131,0.038237011091652069
2021-01-14,7,3426,28,0.0081727962638645651
2021-01-15,0,3140,3140,1
2021-01-15,1,3140,102,0.032484076433121019
2021-01-15,7,3140,17,0.0054140127388535028
2021-01-16,0,2617,2617,1
2021-01-16,1,2617,87,0.033244172716851358
2021-01-16,7,2617,13,0.0049675200611387083
2021-01-17,0,2466,2466,1
2021-01-17,1,2466,101,0.040957015409570155
2021-01-17,7,2466,14,0.0056772100567721
2021-01-18,0,2830,2830,1
2021-01-18,1,2830,123,0.043462897526501766
2021-01-18,7,2830,10,0.0035335689045936395
2021-01-19,0,3209,3209,1
2021-01-19,1,3209,200,0.062324711748208167
2021-01-19,7,3209,36,0.01121844811467747
2021-01-20,0,3661,3661,1
2021-01-20,1,3661,216,0.059000273149412731
2021-01-20,7,3661,44,0.012018574160065555
2021-01-21,0,3574,3574,1
2021-01-21,1,3574,159,0.044487968662562952
2021-01-21,7,3574,25,0.0069949636261891438
2021-01-22,0,3055,3055,1
2021-01-22,1,3055,96,0.031423895253682485
2021-01-22,7,3055,24,0.0078559738134206213
2021-01-23,0,2483,2483,1
2021-01-23,1,2483,94,0.037857430527587596
2021-01-23,7,2483,10,0.0040273862263391063
2021-01-24,0,2370,2370,1
2021-01-24,1,2370,99,0.041772151898734178
2021-01-24,7,2370,16,0.0067510548523206752
2021-01-25,0,2953,2953,1
2021-01-25,1,2953,134,0.045377582119878093
2021-01-26,0,3009,3009,1
2021-01-26,1,3009,156,0.0518444666001994
2021-01-27,0,3414,3414,1
2021-01-27,1,3414,163,0.04774458113649678
2021-01-28,0,3143,3143,1
2021-01-28,1,3143,155,0.049315940184537069
2021-01-29,0,2844,2844,1
2021-01-29,1,2844,82,0.028832630098452883
2021-01-30,0,2249,2249,1
2021-01-30,1,2249,75,0.033348154735437972
2021-01-31,0,2229,2229,1
